Content Title,Content Description,Content Type,Content Last Watched Date (if viewed),Content Completed At (if completed),Content Saved,Notes taken on videos (if taken),
Advertising on YouTube [2017],"In this course, marketing expert Anson Alexander shows you how advertising works on YouTube. Anson demonstrates how to upload videos, create campaigns, set a budget, and target the right audience using Google AdWords. He explains how to create ad groups and target users by demographics. He also shows you how to measure the performance of your video content and then make adjustments based on the analytics.",Course,2019-04-27 13:32 UTC,2019-04-27 13:31 UTC,false,N/A,
Social Media Marketing: Managing Online Communities (2015),"Online communities are the quickest way to find new customers and reach like-minded people. With platforms such as WordPress, Facebook, or Twitter, it's easier than ever to create an online community of your own. But it's important to know how to engage visitors in the right way. Your online audience can be your best advocates—and help you attract more fans and followers. In this course, Megan Adams explores how to turn an online audience into a true community. She walks you through strategies for the most popular social media tools, like Facebook and Twitter, and free and paid tactics for gaining followers and growing your community. Plus, get tips on creating and sharing content that keeps your audience engaged.",Course,2019-03-21 14:13 UTC,2019-03-21 14:11 UTC,false,N/A,
Top 5 Tips for Naming Your Brand,"""What's in a name?"" The truth is, the name you choose for your brand impacts the way your product or service is perceived. With these five simple tips from marketing expert Drew Boyd, you can learn how to choose a name that reflects your brand's core values, distinguishes you from the competition, and is both simple and memorable.",Course,2019-07-27 10:20 UTC,2019-07-27 10:19 UTC,false,N/A,
Agile Software Development: Remote Teams (2019),"Software teams are increasingly going remote—and for good reason. Remote workers often boast greater autonomy and productivity than their in-office counterparts. Going remote can also help organizations save on resources by allowing them to invest less in physical infrastructure. Curious about how to help your software team make the switch to remote work? In this course, Andrea Goulet shows you how, stepping through how to roll out an agile-based remote working strategy for your software team. Along the way, she shares distributed development practices that can benefit both fully remote and co-located teams. Get tips for leveraging top tools for distributed teams, maintaining technical excellence, interviewing and hiring, adapting standup meetings for remote workers, and more.",Course,2021-08-19 12:44 UTC,2021-08-19 12:40 UTC,false,N/A,
Working with Difficult People (2017),"In every workplace, you're likely to perceive some colleagues are being more difficult to work with than others. Before you rush to judgment, you should determine if and how you might be contributing to the situation. (After all, it's entirely possible that you're the problem.) If you've determined that the problem isn't you, then this course can help.<br><br>In this course, Chris Croft shares methods for recognizing the characteristics of some of the most common types of difficult people, and gives you strategies for dealing with these individuals more effectively. Chris provides practical techniques for dealing with a variety of different behaviors, including negativity, aggression, childishness, and selfishness. Plus, he explains how to overcome your own negative thinking, and get the best from a difficult boss.",Course,2019-05-13 05:29 UTC,2019-05-13 05:21 UTC,false,N/A,
CONTENT METADATA NO LONGER EXISTS - urn:li:lyndaCourse:728380,CONTENT METADATA NO LONGER EXISTS - urn:li:lyndaCourse:728380,Course,2019-08-25 11:30 UTC,2019-08-25 11:30 UTC,false,N/A,
Implementing an Information Security Program,"Building and operating an information security program at your organization can be challenging. The scope can be vast and complex. Thinking of all the ways an organization can fail and coming up with actionable measures you can take to prevent issues, mitigate risk, or recover from events is a large undertaking. In this course, Kip Boyle, president of Cyber Risk Opportunities, guides you through the entire process of creating an information security program, rolling it out to your organization, and maintaining it for continuous risk management.",Course,2020-12-01 15:05 UTC,2020-10-19 15:40 UTC,false,N/A,
Change Management Foundations,"<p>The need to manage change successfully is more common and more important for a leader’s career than ever, and a specific roadmap for managing change is essential. In this course, instructor Scott Mautz gives you a playbook—a powerful, step-by-step approach to managing change, drawing from and building on key elements of change management models in practice today. Scott begins with a brief introduction to the field of change management and dives into the truths of leading change. He discusses how to conduct a change readiness assessment, then goes into the specific change management phases that follow. Scott details key steps and considerations of each phase, as well as what barriers to expect and overcome. He concludes with how to build a change action plan (CAP).</p><p>This course is part of a <a href=""https://www.linkedin.com/learning/paths/succeeding-as-a-new-manager-professional-certificate-by-linkedin-learning?u=104"" target=""_blank"">Professional Certificate</a> from LinkedIn Learning.</p>",Course,N/A,N/A,true,N/A,
Helpful AI prompts,CONTENT DESCRIPTION IS MISSING - urn:li:llsServeArticle:80069425,Article (3rd Party Provider),2025-07-11 11:55 UTC,2025-07-11 11:55 UTC,false,N/A,
Glossary,Course Glossary,Article (3rd Party Provider),2026-02-06 10:50 UTC,2026-02-06 10:50 UTC,false,N/A,
Generative AI tools,CONTENT DESCRIPTION IS MISSING - urn:li:llsServeArticle:80072387,Article (3rd Party Provider),2025-07-11 11:46 UTC,2025-07-11 11:46 UTC,false,N/A,
"Applying Lean, DevOps, and Agile to Your IT Organization","Are you an IT leader wanting to transform your organization? Have you heard about lean, agile, and DevOps and want to apply them in the real world? Learn from our experts.",Learning Path,2020-12-02 11:11 UTC,2020-12-01 14:48 UTC,false,N/A,
Develop Your Skills in Agile Software Development,"Agile software development has quickly become the state of the art. In this learning path, you can dive deeply into the application of agile principles for software developers and project managers and learn how to integrate lean, DevOps, and agile approaches into your IT organization.",Learning Path,2021-12-29 08:14 UTC,2021-11-10 08:52 UTC,false,N/A,
Digital Transformation in Practice: Virtual Collaboration Tools,"Digital transformation requires mindset shifts and invites us to work and collaborate in new ways. This learning path complements the Digital Transformation for Leaders and Digital Transformation for Tech Leaders learning paths, highlighting ways to collaborate and communicate in the workplace.",Learning Path,2021-10-11 14:36 UTC,2019-09-16 13:10 UTC,false,N/A,
Develop Your Skills as a Software Project Manager,"Software development requires specialized approaches to project management, and software project managers are in high demand. Learn the basics of project management as they relate to software development teams, as well as best practices for your organization.",Learning Path,2019-09-12 11:48 UTC,2019-09-12 11:45 UTC,false,N/A,
Advance as a Digital Marketing Specialist,"Develop your digital marketing skills to effectively create new opportunities for your business as a digital marketing specialist. From customer touch points and content strategy to SEO and analytics, this path guides you through the best practices and principles of digital marketing.",Learning Path,2020-04-04 17:44 UTC,N/A,false,N/A,
Getting Started as a Project Coordinator,"Kick-start your career in project management as a project coordinator. From project management basics to communication and meeting leadership, you'll learn how to keep project tasks and teams on track in the most efficient ways.",Learning Path,2020-12-28 08:23 UTC,2020-12-28 08:23 UTC,false,N/A,
Getting Started as a Project Manager,"Project managers have diverse skill sets that allow them to approach projects with strategy and efficiency. After completing this learning path, you'll have the skills and knowledge to manage various types of projects from beginning to end using proven project management techniques.",Learning Path,2020-06-23 14:12 UTC,2019-04-03 12:31 UTC,false,N/A,
Manage Change and Adapt with Less Stress,"Discover how to maintain effectiveness and reduce stress when experiencing major changes in your work tasks or environment. Find out how to adjust quickly and effectively to learn and work within new work structures, processes, requirements, or cultures.",Learning Path,N/A,N/A,true,N/A,
Develop Your Social Media Marketing Skills,"Social media marketers are an organization's direct connection to a consumer. Social media has dramatically altered marketing by allowing businesses to authentically engage with their customers. In this learning path, discover how to leverage social media in your overall marketing strategy, and learn best practices for helping you successfully connect with consumers. ",Learning Path,2019-04-27 13:32 UTC,2019-04-27 13:31 UTC,false,N/A,
Advance Your Digital Transformation Strategy as a Leader,"In this learning path, business leaders can explore the larger context for digital transformation and learn practical skills for moving their digital transformation strategy forward.",Learning Path,2019-08-22 10:39 UTC,2019-08-22 10:37 UTC,false,N/A,
Improve Processes and Deliver Operational Excellence,"Learn how to improve business processes and execute your business strategy more consistently and reliably over time. In this learning path, discover how to apply operational excellence techniques to improve your organization's processes, products, and services.",Learning Path,N/A,N/A,true,N/A,
Master SQL for Data Science,SQL database skills are consistently among the most sought after in the world of data science. Master the skills needed for data science project specialists and develop a solid foundation of knowledge for working with SQL engineers.,Learning Path,2021-12-29 08:16 UTC,N/A,false,N/A,
CONTENT METADATA NO LONGER EXISTS - urn:li:lyndaLearningPath:5afc6aad498e08fe611ec3cd,CONTENT METADATA NO LONGER EXISTS - urn:li:lyndaLearningPath:5afc6aad498e08fe611ec3cd,Learning Path,2020-12-28 10:22 UTC,2019-06-17 19:42 UTC,false,N/A,
Getting Started as a Business Analyst,"In this learning path, you can learn all the skills to gather, document, and analyze business needs and requirements and become a successful business analyst.",Learning Path,2020-05-31 12:09 UTC,2019-05-07 14:35 UTC,false,N/A,
Digital Transformation for Tech Leaders,"Technology leaders need to be familiar with the technologies that will drive their digital transformation. This learning path introduces these technologies to those responsible for driving their tech strategy. Topics include cloud computing, big data and data science, machine learning and artificial intelligence, blockchain, the Internet of Things, software project management, and security policies. Also explore our <span style=""text-decoration: underline;""><a href=""https://www.linkedin.com/learning/paths/digital-transformation-for-leaders"">Digital Transformation for Leaders</a></span> and <span style=""text-decoration: underline;""><a href=""https://www.linkedin.com/learning/paths/digital-transformation-in-practice"">Digital Transformation in Practice</a></span> learning paths.",Learning Path,2020-12-01 15:04 UTC,2019-08-26 14:03 UTC,false,N/A,
Become a Django Developer,"Django is a popular Python web framework designed to help developers rapidly build secure, scalable web applications. Get the skills to build web applications with Django, work with data and forms, and deploy your Django applications in this fast-paced learning path.",Learning Path,2023-02-21 15:38 UTC,N/A,false,N/A,
Develop the Skills to Lead During Times of Change,"Change is inevitable, especially for leaders and managers. In this learning path, you'll learn key skills for leading change, such as: preparing yourself for change, managing change, communicating change, leading a team through change, and sustaining the pace of change without burning out.",Learning Path,2020-06-23 13:36 UTC,2019-08-26 13:33 UTC,false,N/A,
Develop Your Skills as a Program Manager,"Now that you've mastered project management, you're ready for the next challenge: program management. From leadership to strategic business and cross-functional skills, this learning path can help you acquire the skills to become an exceptional program manager.",Learning Path,2020-12-24 14:01 UTC,2019-07-13 13:20 UTC,false,N/A,
Become a Six Sigma Green Belt,"Six Sigma Green Belts are devoted to process improvement for their teams. Help your team increase efficiency, decrease defects and mistakes, find and remove obstacles, and improve overall quality output.",Learning Path,2021-12-29 08:16 UTC,N/A,false,N/A,
Advance Your Skills as a Project Manager,"There's more to project management than schedules, budgets, and risk. This learning path expands your understanding with skills like self-reflection, getting comfortable with uncertainty, using data and business analysis skills to drive decisions, and staying calm and focused.",Learning Path,2021-10-13 09:47 UTC,2019-03-29 06:45 UTC,false,N/A,
Getting Started as an Agile Project Manager,"Deliver projects with the highest level of performance and quality as an agile project manager. This path will help you build a solid foundation in leading and motivating agile project teams, from developing user stories and agile charts to driving productive meetings.",Learning Path,2019-06-06 19:14 UTC,2019-06-06 19:11 UTC,false,N/A,
Improve Your ITIL® Skills,"ITIL® is a popular framework for IT service management. This learning path is designed to prepare you for the popular Foundations certification, as well as provide advice on how to implement it in the real world, and generally better align IT services with the needs of your business.",Learning Path,2019-04-27 11:22 UTC,2019-04-27 11:21 UTC,false,N/A,
Getting Started in Blockchain,"Demand for Blockchain skills has skyrocketed as companies in virtually all industries around the world rush to ensure they're not missing opportunities or being outflanked by competitors adopting this digital, decentralized trust technology to their own needs. For those in the IT industry especially, a thorough understanding of how Blockchain works, how it will affect various industries, and what the key skills are, can set you on a new career development path.",Learning Path,2020-11-23 08:48 UTC,2019-03-16 08:06 UTC,false,N/A,
Master In-Demand Skills for Technology Leadership,"Technology leaders go beyond mastery of coding skills and technology knowledge to position their teams for success. In this learning path, you'll get the essential skills needed as a technology leader, from business acumen and development to thought leadership, mentoring, and team management.",Learning Path,2020-12-01 14:24 UTC,2019-03-22 06:37 UTC,false,N/A,
CONTENT METADATA NO LONGER EXISTS - urn:li:lyndaLearningPath:57601e6092015ab3e441eef5,CONTENT METADATA NO LONGER EXISTS - urn:li:lyndaLearningPath:57601e6092015ab3e441eef5,Learning Path,2020-12-02 11:19 UTC,N/A,false,N/A,
CONTENT METADATA NO LONGER EXISTS - urn:li:lyndaLearningPath:5d8bb5f9498e3236cc92196a,CONTENT METADATA NO LONGER EXISTS - urn:li:lyndaLearningPath:5d8bb5f9498e3236cc92196a,Learning Path,2023-05-18 13:10 UTC,2023-05-18 13:10 UTC,false,N/A,
Explore a Career in Product Management,"Product managers have many responsibilities: product strategy, development, and design, as well as product launch and retirement. They work with stakeholders from UX, engineering, and marketing to sales and management. Build the foundation you need to hit the ground running as a new product manager.",Learning Path,2020-12-27 09:38 UTC,2019-03-18 05:44 UTC,false,N/A,
CONTENT METADATA NO LONGER EXISTS - urn:li:lyndaLearningPath:5a149f5b498ef142c0e8c1b6,CONTENT METADATA NO LONGER EXISTS - urn:li:lyndaLearningPath:5a149f5b498ef142c0e8c1b6,Learning Path,2020-12-02 11:02 UTC,2019-05-03 11:20 UTC,false,N/A,
Outlook: Efficient Email Management (2019),"Microsoft Outlook includes many powerful and often overlooked features that can make your email workflow easier and more efficient. Join instructor Gini von Courter and discover ways of working with Outlook that can make your email experience less time-consuming and tedious. Learn to create email conversations and set up organizational features including rules, folders, and categories; then discover how to use Quick Steps and Instant Search. From tips about avoiding clutter to in-depth walkthroughs about creating autoreplies, this course is ideal for anyone who wants to be more productive with Outlook.",Course,2020-03-01 14:11 UTC,N/A,false,N/A,
Introduction to Graphic Design,"Graphic design is a complex art. To become a graphic designer, you need to master many different skills and tools. This course covers the concepts and software that every designer needs to know and explains how they fit into a typical graphic design workflow. Instructor Tony Harmer introduces the creative process, including high-level concepts like layout, typography, and color. Then it's your chance to get hands-on, using Photoshop to creatively adjust, repair, and retouch the kinds of images used in graphic design projects. Tony then shows how to use Illustrator to build a custom logo and introduces important vector-drawing techniques. Last, he visits InDesign for an overview of the document layout and print preparation processes. By the end of the course, you'll have a better grasp of what graphic designers do and what you'll need to learn next. It's a great jumping off point for any graphic design career.",Course,2019-06-12 20:29 UTC,2019-06-12 20:23 UTC,false,N/A,
Google Universal Analytics Essential Training (2020),"Google Analytics is the industry standard for web analytics. This powerful tool provides the means to track, analyze, and report on site visits, marketing goals, and ad revenue generated from your site. This course explains how to use Google Analytics to better understand who your digital customers are, how they found your website, and how they engage with your site once they get there. This course covers the platform's out-of-the-box functionality, from account creation to reporting fundamentals. Instructor Corey Koberg explains how to glean insights from the vast array of data available: from averages and segments to trends and context.",Course,2019-06-12 14:10 UTC,2019-06-12 14:10 UTC,false,N/A,
Excel: Creating and Managing Invoices,"Many small business owners use Microsoft Excel spreadsheets to track their finances, but lack an invoice management scheme. In this concise course, Jess Stratton shows business owners and independent contractors how to easily create, track, and manage invoices in Excel. She explains how to find and edit a template to create invoices, and reviews several options for getting completed invoices to customers. Plus, she demonstrates how to extend the functionality by creating a drop-down list of products using named ranges, auto-incrementing invoice numbers, and more.",Course,2018-08-20 05:17 UTC,N/A,false,N/A,
Lean Six Sigma Foundations,"<p>Lean Six Sigma combines the principles of lean enterprise and lean manufacturing with Six Sigma to improve performance and systematically remove waste. Supply chain expert and professor Steven Brown explains the basics of using Lean Six Sigma as a structure for your improvement efforts.</p>
<p>Steven outlines the process stages in Six Sigma (define, measure, analyze, improve, and control), along with the Lean toolkit: the 5s principles, kanban (scheduling), downtime, poka-yoke (error proofing), and kaizen (continuous improvement). He also explains how leadership works within Lean Six Sigma, the principles of project execution, and how Lean Six Sigma is applied to the service sector and supply chain management. Make sure to watch the <strong>""Next steps""</strong> video at the end of the course for further resources.</p>
<p>This course is part of a <a href=""https://www.linkedin.com/learning/paths/cscmp-supply-chain-foundations-manufacturing-and-service-operations-professional-certificate"" target=""_blank"" rel=""noopener noreferrer"">Professional Certificate</a> from CSCMP. </p>",Course,2020-11-10 15:51 UTC,2020-11-10 15:48 UTC,false,N/A,
Product Management: Launching Your Product,"80% of new products fail. What are the other 20% doing right? Companies that see new products thrive did strategic planning to make it happen. Learn how to launch your product into the marketplace the right way. Entrepreneur and executive Karen Holst helps you to understand all the steps to successfully take your product from an idea to a customer’s hands. Discover how to identify your audience and the problem you’re solving for them. Identify the right goals, strategy, and team to heighten your product’s visibility and adoption, while avoiding costly mistakes. Learn how to build a product launch checklist and access the best tools and resources available for product leaders. Explore marketing strategies for connecting to customers with social media, video, influencer campaigns, and more. Plus, discover how to continue to grow your business beyond product launch day.",Course,2020-12-27 09:19 UTC,2020-12-26 14:22 UTC,false,N/A,
Project Management Foundations: Ethics (2019),"Your overall success as a project manager depends upon your ability to identify and manage ethical issues. Ethical behavior is also a requirement for good standing with the Project Management Institute (PMI). To boost your reputation and increase project participation and success, you need to learn how to conduct your project in an ethical way and solve any complications that may arise—due to conflicts of interest, business pressure, or even fear of failure. Join PMP Bob McGannon in this course, as he examines the core values of ethical projects and the different ethical standards that can be applied to project management. Bob also shows how to develop and apply a framework for ethical decision-making that balances your organization’s unique cultural expectations with your own personal standards.",Course,2020-12-31 09:53 UTC,2020-12-31 09:49 UTC,false,N/A,
Learning PRINCE2 (2015),"Learn about the fundamental themes and processes of PRINCE2: PRojects IN Controlled Environments. PRINCE2 is a process-based approach to project management providing an easily tailored and scalable method for the management of all sizes and types of projects. The method is practiced worldwide, but it is the de facto standard for project management in the UK. Here Claudine Peet reviews the seven themes and principles of PRINCE2 and the seven main processes, from initiation to delivery to closure.",Course,N/A,N/A,true,N/A,
Transitioning from Waterfall to Agile Project Management (2015),"If your organization is looking to realize the time, quality, and cost benefits of agile project management, this course is for you. Agile expert Kelley O'Connell helps those interested in experimenting with agile understand the difference between traditional waterfall and agile methodologies and what is required for a successful transition between the two. She provides advice on garnering support for a pilot project: by identifying supporters early on and keeping them engaged, while also responding to detractors. She then leads you through the process of choosing the pilot project, selecting the right team, and setting the vision, and provides a short overview of agile basics to you get started. Finally, learn how to perform a retrospective review of the pilot and identify the drivers to continue an agile rollout.",Course,2019-06-06 19:14 UTC,2019-06-06 19:11 UTC,false,N/A,
Microsoft Azure Fundamentals (AZ-900) Cert Prep: 2 Azure Architecture and Security,"<p>The Microsoft Azure Fundamentals certification exam is for anyone who wants to begin their professional journey in cloud computing. To pass the AZ-900 exam, you require a high-level knowledge of the cloud, Azure’s architecture, core security, its basic services, management tools, and governance. This second course in the AZ-900 cert prep series covers the Azure architecture, identity, access, and security part of the exam objectives. Your instructor Kunal D Mehta helps you gain a comprehensive understanding of Azure’s architectural hierarchy, administration hierarchy, Microsoft Entra ID (formerly Azure Active Directory), multifactor authentication, passwordless authentication, single sign-on, zero-trust, defense-in-depth, Conditional Access, Role-Based Access Control, and Microsoft Defender for Cloud.</p>

<p>This course was created by Kunal Mehta. We are pleased to host this training in our library.</p>",Course,2023-02-16 16:49 UTC,2023-02-16 16:46 UTC,false,N/A,
Visio 2016 Essential Training,"Whether you're creating an org chart, mapping a network, or drawing a floor plan, this course will help you master the intricacies of Visio 2016, Microsoft's powerful diagramming software. David Rivers explores the interface and shows how to create and connect diagrams, add objects, and format shapes, pictures, text, and more. Chapter 9–14 focus on creating specific diagrams with Visio 2016, including org charts, brainstorming diagrams, timelines, calendars, floor plans, and wireframes.",Course,2021-05-31 19:01 UTC,2021-05-31 19:00 UTC,false,N/A,
Node.js Essential Training (2019),"Node.js is a powerful tool for controlling servers, building web applications, and creating event-driven programs. And it takes JavaScript—a language familiar to all web developers—out of the browser. With Node.js, you can build applications that run on your laptop or even the cloud. In this course, learn the essentials of Node.js and start creating your own JavaScript applications. Instructor Alex Banks acquaints you with all of the basics, showing how to install Node.js and work with the Node.js core, which includes standard input, standard output, the module system, the file system, and how to write and run JavaScript on the server. Upon wrapping up this course, you’ll be equipped with fundamental Node.js concepts and techniques that you can put to use in your next project.",Course,2022-01-21 09:15 UTC,N/A,false,N/A,
Kickstarter Crowdfunding Essential Training,"Learn how to raise money for your projects by crowdfunding using Kickstarter. Richard Bliss is an expert-level Kickstarter consultant who hosts the popular Kickstarter podcast, <em>Funding the Dream</em>. In this course, he provides advice for inventors, entrepreneurs, and artists who want to use Kickstarter to fund their next project.<br><br>Richard outlines the importance of finding your niche and cultivating an audience <em>before</em> launching a Kickstarter campaign. Then he shows how to create the campaign itself, setting up a profile, establishing pledge levels, and crafting the most important elements of the crowdfunding campaign: your video, graphics, project description, title, and rewards.<br><br>You'll learn how to launch and monitor a campaign, use the Project Creator interface, interact with backers via messages and comments, and more. Finally, you'll discover how to analyze the performance of your campaign with the analytics dashboard, and generate a backer survey to stay connected with your crowd.<br><br>This course includes knowledge checks to help you self-check your understanding, a free prelaunch checklist to keep you on track, and examples from current Kickstarter campaigns that can help you reach your funding dreams.",Course,N/A,N/A,true,N/A,
Using SQL with Python,"Are you familiar with SQL? Do you know Python? Are you interested in understanding how these two languages work together? Then join Bill Weinman in this course as he shows the power of these two languages combined. Bill starts with some basics—connecting to a database, performing simple queries, and reading rows from a table. He covers how to use prepared statements and cursors, how to build a wrapper class to streamline the SQL interface and support multiple different database engines, and how to build a CRUD class and a full-featured web application using what you've learned. Many applications require a combination of SQL and Python, and after finishing Bill’s course, you’ll have a better understanding of why and how you can leverage the power of these two languages together.",Course,N/A,N/A,true,N/A,
Global Strategy,"Globalization is a double-edged sword. Global firms benefit from a larger market, scale- and location-based cost efficiencies, and exposure to a multiplicity of new product and process ideas. However, globalization also exposes firms to numerous challenges resulting from a dramatic increase in diversity, complexity, and uncertainty. This course is aimed at helping managers learn how to maximize the benefits while minimizing the costs and risks associated with global expansion. Anil K. Gupta, Michael Dingman Chair in Strategy and Globalization at The University of Maryland's Smith School, and a leading expert on global strategy, outlines the logic of global strategy and the questions you must address in order to globalize your company's market presence and leverage global resources.",Course,2023-01-09 16:38 UTC,2023-01-09 16:38 UTC,false,N/A,
JSON Essential Training,"JSON has become the most common format for data interchange on the web, building from a JavaScript base to a wider set of API platforms. In this course, instructor Sasha Vodnik walks you through using the basic syntax of JSON and applying it in several common implementations to see how you can structure it with schemas and JSON-LD. Sasha begins by making sure you have a thorough understanding of how to build and debug JSON structures. After stepping through how to process JSON data, he shows you a variety of ways to use it. Next, Sasha covers techniques you can use to work with JSON, such as preventing data reuse and returning readable JSON data in JavaScript. He goes over how to create and validate JSON schema and how to work with schema generators. Sasha concludes with a discussion of JSON-LD and how you can use it to explain and map the structure of your data.",Course,2022-07-01 14:31 UTC,2022-07-01 14:25 UTC,false,N/A,
